case_id,pass_name,section,family,persona,player,response,auto_flags,relevant_0_1,intelligible_0_1,villager_voice_0_1,persona_consistent_0_1,acceptable_0_1,notes
core_001,greedy,core,greeting,Rowan | shepherd | Minoc | cheerful and good-natured,Hello.,hello there,,,,,,,
core_002,greedy,core,greeting,Greta | farmer | Yew | practical and friendly,Hello there.,hello there,,,,,,,
core_003,greedy,core,greeting,Bram | blacksmith | Britain | gruff but fair,Good morning.,good morning / i hope the town is content,,,,,,,
core_004,greedy,core,greeting,Elsbeth | baker | Cove | warm and talkative,Good evening.,good night / sleep well,greeting_miss,,,,,,
core_005,greedy,core,greeting,Duncan | merchant | Jhelom | proud of your work,Howdy.,then i am not so shy,greeting_miss,,,,,,
core_006,greedy,core,greeting,Nora | weaver | Skara Brae | quiet and content,Greetings.,a good greeting,greeting_miss,,,,,,
core_007,greedy,core,greeting,Walter | farmer | Britain | talkative,Hi there.,hello there,,,,,,,
core_008,greedy,core,greeting,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Well met.,well met,,,,,,,
core_009,greedy,core,farewell,Mildred | weaver | Skara Brae | cheerful,Goodbye.,farewell / go safely,,,,,,,
core_010,greedy,core,farewell,Pip | miner | Minoc | cheerful and friendly,Bye for now.,goodbye friend,,,,,,,
core_011,greedy,core,farewell,Silas | cobbler | Vesper | patient,See you later.,until later then,,,,,,,
core_012,greedy,core,farewell,Isadora | brewer | Trinsic | gentle,I should be going.,thou art aplenter in this town,farewell_miss,,,,,,
core_013,greedy,core,farewell,Aldric | fisherman | Cove | calm and observant,Farewell.,safe travels,,,,,,,
core_014,greedy,core,farewell,Clara | alchemist | Moonglow | curious but humble,Take care.,take care of yourself / thou wilt be double,,,,,,,
core_015,greedy,core,farewell,Finn | guard | Yew | stern and dutiful,Until next time.,until next time,exact_player_echo;farewell_miss,,,,,,
core_016,greedy,core,farewell,Hilda | beekeeper | Vesper | practical,Good night.,rest well friend,,,,,,,
core_017,greedy,core,gratitude,Ulric | carpenter | Yew | particular about your tools,Thank you.,glad i could help,,,,,,,
core_018,greedy,core,gratitude,Marta | provisioner | Britain | cheerful and brisk,Thanks for the help.,thou art welcome,,,,,,,
core_019,greedy,core,gratitude,Cedric | leathermaker | Vesper | reserved and skilled,Much appreciated.,aye thou art welcome,,,,,,,
core_020,greedy,core,gratitude,Tobias | mason | Skara Brae | quiet and steady,That was kind of you.,i am welcome to the attempt,,,,,,,
core_021,greedy,core,gratitude,Quilla | banker | Minoc | boastful and loud,I owe you one.,i am no smith / that is the price of honesty,gratitude_ack_miss,,,,,,
core_022,greedy,core,gratitude,Gareth | hunter | Minoc | blunt and patient,Cheers for that.,cheers / what is common,gratitude_ack_miss,,,,,,
core_023,greedy,core,gratitude,Rachel | healer | Britain | patient and compassionate,You've been helpful.,i have no knowledge of how i am a healer,gratitude_ack_miss,,,,,,
core_024,greedy,core,gratitude,Sybil | cooper | Jhelom | friendly and curious,I appreciate it.,glad i could help,,,,,,,
